location,continent,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita
Luxembourg,Europe,647601,82.25,4.51,94277.96
Macao,Asia,695180,84.24,,104861.85
Madagascar,Africa,29611718,67.04,0.2,1416.44
Malawi,Africa,20405318,64.26,1.3,1095.04
Malaysia,Asia,33938216,76.16,1.9,26808.16
Maldives,Asia,523798,78.92,,15183.62
Mali,Africa,22593598,59.31,0.1,2014.31
Malta,Europe,533293,82.53,4.49,36513.32
Marshall Islands,Oceania,41593,73.7,2.7,3819.2
Martinique,North America,367512,82.54,,
Mauritania,Africa,4736146,64.92,,3597.63
Mauritius,Africa,1299478,74.99,3.4,20292.74
Mayotte,Africa,326113,79.46,,
Mexico,North America,127504120,75.05,1.38,17336.47
Micronesia (country),Oceania,114178,67.88,,3299.46
Moldova,Europe,3272993,71.9,5.8,5189.97
Monaco,Europe,36491,86.75,13.8,
Mongolia,Asia,3398373,69.87,7.0,11840.85
Montenegro,Europe,627082,76.88,3.86,16409.29
Montserrat,North America,4413,74.16,,
Morocco,Africa,37457976,76.68,1.1,7485.01
Mozambique,Africa,32969520,60.85,0.7,1136.1
Myanmar,Asia,54179312,67.13,0.9,5591.6
Namibia,Africa,2567024,63.71,,9541.81
Nauru,Oceania,12691,59.96,5.0,12895.64
Nepal,Asia,30547586,70.78,0.3,2442.8
Netherlands,Europe,17564020,82.28,3.32,48472.54
New Caledonia,Oceania,289959,77.55,,
New Zealand,Oceania,5185289,82.29,2.61,36085.84
Nicaragua,North America,6948395,74.48,0.9,5321.44
Niger,Africa,26207982,62.42,0.3,926.0
Nigeria,Africa,218541216,54.69,,5338.45
Niue,Oceania,1952,73.71,,
North America,,600323657,,,
North Korea,Asia,26069416,72.27,13.2,
North Macedonia,Europe,2093606,75.8,4.28,13111.21
Northern Cyprus,Asia,382836,,,
Northern Ireland,Europe,1896000,,,
Northern Mariana Islands,Oceania,49574,76.74,,
Norway,Europe,5434324,82.4,3.6,64800.06
Oceania,,45038860,,,
Oman,Asia,4576300,77.86,1.6,37960.71
Pakistan,Asia,235824864,67.27,0.6,5034.71
Palau,Oceania,18084,73.7,4.8,13240.4
Palestine,Asia,5250076,74.05,,4449.9
Panama,North America,4408582,78.51,2.3,22267.04
Papua New Guinea,Oceania,10142625,64.5,,3823.19
Paraguay,South America,6780745,74.25,1.3,8827.01
Peru,South America,34049588,76.74,1.6,12236.71
Philippines,Asia,115559008,71.23,1.0,7599.19
Pitcairn,Oceania,47,,,
Poland,Europe,39857144,78.73,6.62,27216.44
Portugal,Europe,10270857,82.05,3.39,27936.9
Puerto Rico,North America,3252412,80.1,,35044.67
Qatar,Asia,2695131,80.23,1.2,116935.6
Reunion,Africa,974062,80.48,,
Romania,Europe,19659270,76.05,6.89,23313.2
Russia,Europe,144713312,72.58,8.05,24765.95
Rwanda,Africa,13776702,69.02,,1854.21
Saint Barthelemy,North America,10994,,,
Saint Helena,Africa,5401,80.56,,
Saint Kitts and Nevis,North America,47681,76.23,2.3,24654.38
Saint Lucia,North America,179872,76.2,1.3,12951.84
Saint Martin (French part),North America,31816,82.08,,
Saint Pierre and Miquelon,North America,5885,81.07,,
Saint Vincent and the Grenadines,North America,103959,72.53,2.6,10727.15
Samoa,Oceania,222390,73.32,,6021.56
San Marino,Europe,33690,84.97,3.8,56861.47
Sao Tome and Principe,Africa,227393,70.39,2.9,3052.71
Saudi Arabia,Asia,36408824,75.13,2.7,49045.41
Scotland,Europe,5466000,,,
Senegal,Africa,17316452,67.94,,2470.58
Serbia,Europe,6871547,76.0,5.61,14048.88
Seychelles,Africa,107135,73.4,3.6,26382.29
Sierra Leone,Africa,8605723,54.7,,1390.3
