date,new_cases,new_deaths,new_tests,total_cases,total_deaths,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-01-28,0.0,0.0,,0.0,0.0,,0.0,0.0,
2020-01-29,0.0,0.0,,0.0,0.0,,0.0,0.0,
2020-01-30,0.0,0.0,,0.0,0.0,,0.0,0.0,
2020-01-31,3.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-01,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-02,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-03,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-04,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-05,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-06,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-07,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-08,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-09,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-10,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-11,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-12,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-13,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-14,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-15,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-16,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-17,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-18,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-19,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-20,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-21,0.0,0.0,,3.0,0.0,,0.050815183956386206,0.0,
2020-02-22,14.0,0.0,,17.0,0.0,,0.28795270908618853,0.0,
2020-02-23,62.0,2.0,,79.0,2.0,,1.3381331775181702,0.03387678930425747,
2020-02-24,53.0,0.0,,132.0,2.0,,2.235868094080993,0.03387678930425747,
2020-02-25,97.0,4.0,,229.0,6.0,,3.8788923753374807,0.10163036791277241,
2020-02-26,93.0,5.0,,322.0,11.0,,5.454163077985453,0.1863223411734161,
2020-02-27,78.0,1.0,,400.0,12.0,,6.775357860851495,0.20326073582554482,
2020-02-28,250.0,5.0,,650.0,17.0,,11.009956523883679,0.28795270908618853,
2020-02-29,238.0,4.0,,888.0,21.0,,15.041294451090318,0.35570628769470347,
2020-03-01,240.0,8.0,,1128.0,29.0,,19.106509167601214,0.49121344491173335,
2020-03-02,561.0,6.0,,1689.0,35.0,,28.608948567445434,0.5928438128245057,
2020-03-03,347.0,17.0,,2036.0,52.0,,34.486571511734105,0.8807965219106942,
2020-03-04,466.0,28.0,,2502.0,80.0,,42.3798634196261,1.3550715721702988,
2020-03-05,587.0,27.0,,3089.0,107.0,,52.32270108042567,1.8124082277777747,
2020-03-06,769.0,41.0,,3858.0,148.0,,65.34832656791266,2.506882408515053,
2020-03-07,778.0,49.0,,4636.0,197.0,,78.52639760726882,3.336863746469361,
2020-03-08,1247.0,36.0,,5883.0,233.0,,99.64857573847335,3.9466459539459957,
2020-03-09,1492.0,133.0,,7375.0,366.0,,124.92066055944943,6.199452442679117,
2020-03-10,1797.0,98.0,,9172.0,464.0,,155.35895574932476,7.859415118587734,
2020-03-11,977.0,167.0,,10149.0,631.0,,171.90776732445454,10.688127025493232,
2020-03-12,2313.0,196.0,,12462.0,827.0,,211.08627415482832,14.008052377310465,
2020-03-13,2651.0,189.0,,15113.0,1016.0,,255.98995837762158,17.209408966562798,
2020-03-14,2547.0,252.0,,17660.0,1268.0,,299.1320495565935,21.477884418899237,
2020-03-15,3497.0,173.0,,21157.0,1441.0,,358.36561565508765,24.40822669371751,
2020-03-16,2823.0,370.0,,23980.0,1811.0,,406.18270375804707,30.67543271500514,
2020-03-17,4000.0,347.0,,27980.0,2158.0,,473.936282366562,36.55305565929381,
2020-03-18,3526.0,347.0,,31506.0,2505.0,,533.661061909968,42.430678603582486,
2020-03-19,4207.0,473.0,,35713.0,2978.0,,604.9208882114735,50.442539274039376,
2020-03-20,5322.0,429.0,,41035.0,3407.0,,695.0670245501027,57.709110579802605,
2020-03-21,5986.0,625.0,,47021.0,4032.0,,796.4602549377453,68.29560723738307,
2020-03-22,6557.0,795.0,,53578.0,4827.0,,907.5253086717535,81.7616309858254,
2020-03-23,5560.0,649.0,,59138.0,5476.0,,1001.7027829375892,92.75464911505696,
2020-03-24,4789.0,601.0,,63927.0,6077.0,,1082.8207549266338,102.93462430098633,
2020-03-25,5249.0,743.0,,69176.0,6820.0,,1171.7303884556575,115.51985152751799,
2020-03-26,5210.0,685.0,,74386.0,7505.0,,1259.9794245932483,127.12265186422617,
2020-03-27,6153.0,660.0,,80539.0,8165.0,,1364.2013668877962,138.30199233463114,
2020-03-28,5959.0,971.0,,86498.0,9136.0,,1465.1372606198315,154.74917354184814,
2020-03-29,5974.0,887.0,,92472.0,10023.0,,1566.3272302716484,169.77352959828633,
2020-03-30,5217.0,758.0,,97689.0,10781.0,,1654.694835171804,182.6128327445999,
2020-03-31,4050.0,810.0,,101739.0,11591.0,,1723.2953335129255,196.3329324128242,
2020-04-01,4053.0,839.0,,105792.0,12430.0,,1791.9466470380032,210.54424552596018,
2020-04-02,4782.0,727.0,,110574.0,13157.0,,1872.946050264483,222.8584584380578,
2020-04-03,4668.0,760.0,,115242.0,13917.0,,1952.0144765006198,235.73163837367562,
2020-04-04,4585.0,764.0,,119827.0,14681.0,,2029.6770159806301,248.67257188790197,
2020-04-05,4805.0,681.0,,124632.0,15362.0,,2111.0660022841084,260.20761864600166,
2020-04-06,4316.0,527.0,,128948.0,15889.0,,2184.1721136026963,269.1341526276735,
2020-04-07,3599.0,636.0,,132547.0,16525.0,,2245.133395955708,279.9069716264274,
2020-04-08,3039.0,604.0,,135586.0,17129.0,,2296.609177303527,290.13776199631315,
2020-04-09,3836.0,540.0,,139422.0,17669.0,,2361.5848591890926,299.28449510846264,
2020-04-10,4204.0,612.0,,143626.0,18281.0,,2432.793870306642,309.65079263556544,
2020-04-11,3951.0,570.0,,147577.0,18851.0,,2499.7174675772026,319.3056775872788,
2020-04-12,4694.0,619.0,,152271.0,19470.0,,2579.2262920742946,329.7905438769465,
2020-04-13,4092.0,431.0,,156363.0,19901.0,,2648.5382029908055,337.09099197201397,
2020-04-14,3153.0,564.0,,159516.0,20465.0,,2701.9449613289676,346.64424655581456,
2020-04-15,2972.0,604.0,,162488.0,21069.0,,2752.285870235094,356.87503692570033,
2020-04-16,2667.0,578.0,,165155.0,21647.0,,2797.4605687723215,366.66542903463073,
2020-04-17,3786.0,525.0,,168941.0,22172.0,,2861.5893309252806,375.55808622699834,
2020-04-18,3493.0,575.0,,172434.0,22747.0,,2920.7551434451666,385.29766315197236,
2020-04-19,3491.0,480.0,,175925.0,23227.0,,2979.887079175748,393.42809258499415,
2020-04-20,3047.0,433.0,7841.0,178972.0,23660.0,943151.0,3031.498367680784,400.7624174693659,15975.46385454987
2020-04-21,2256.0,454.0,28095.0,181228.0,24114.0,971246.0,3069.7113860159866,408.45244864143234,16451.348052301426
2020-04-22,2729.0,534.0,44248.0,183957.0,24648.0,1015494.0,3115.936265021646,417.4975513856691,17200.838138868818
2020-04-23,3370.0,437.0,37083.0,187327.0,25085.0,1052577.0,3173.0186549993196,424.89962984864934,17828.96462775371
2020-04-24,2646.0,464.0,95273.0,189973.0,25549.0,1147850.0,3217.8376472488526,432.75904496723706,19442.73630144597
2020-04-25,3021.0,420.0,38676.0,192994.0,25969.0,1186526.0,3269.008537492933,439.87317072113115,20097.8456530117
2020-04-26,2357.0,415.0,24113.0,195351.0,26384.0,1210639.0,3308.9323336880007,446.9026045017646,20506.28116325848
2020-04-27,2324.0,260.0,26678.0,197675.0,26644.0,1237317.0,3348.297162859548,451.30658711131804,20958.163655787972
2020-04-28,1739.0,333.0,37554.0,199414.0,26977.0,1274871.0,3377.7530311595997,456.94707253047693,21594.268128554013
2020-04-29,2091.0,382.0,38589.0,201505.0,27359.0,1313460.0,3413.171214377201,463.4175392875901,22247.90383978501
2020-04-30,2086.0,323.0,41441.0,203591.0,27682.0,1354901.0,3448.5047056215417,468.8886407602277,22949.84785256388
2020-05-01,1872.0,285.0,43732.0,205463.0,27967.0,1398633.0,3480.2133804103264,473.7160832360844,23690.59772749077
2020-05-02,1965.0,269.0,31231.0,207428.0,28236.0,1429864.0,3513.4973259017593,478.272511397507,24219.600730871403
2020-05-03,1900.0,474.0,27047.0,209328.0,28710.0,1456911.0,3545.680275740804,486.301310462616,24677.733491027528
2020-05-04,1389.0,174.0,22999.0,210717.0,28884.0,1479910.0,3569.207705912611,489.2485911320864,25067.299629631838
2020-05-05,1221.0,195.0,32211.0,211938.0,29079.0,1512121.0,3589.88948578286,492.5515780892515,25612.902259771556
2020-05-06,1075.0,236.0,37771.0,213013.0,29315.0,1549892.0,3608.0982600338984,496.5490392271539,26252.68236417711
2020-05-07,1444.0,369.0,13665.0,214457.0,29684.0,1563557.0,3632.5573019115723,502.7993068537894,26484.14552709845
2020-05-08,1401.0,274.0,45428.0,215858.0,29958.0,1608985.0,3656.2879928192046,507.44042698847267,27253.622919355355
2020-05-09,1327.0,243.0,36091.0,217185.0,30201.0,1645076.0,3678.7652425225797,511.55645688894,27864.946520745332
2020-05-10,1083.0,194.0,31384.0,218268.0,30395.0,1676460.0,3697.109523930835,514.8425054514529,28396.54109850774
2020-05-11,802.0,165.0,25823.0,219070.0,30560.0,1702283.0,3710.694116441842,517.6373405690542,28833.94126360966
2020-05-12,744.0,179.0,39620.0,219814.0,30739.0,1741903.0,3723.296282063026,520.6693132117853,29505.040459727003
2020-05-13,1402.0,172.0,37049.0,221216.0,30911.0,1778952.0,3747.0439113653106,523.5827170919514,30132.59104319372
2020-05-14,888.0,195.0,41131.0,222104.0,31106.0,1820083.0,3762.085205816401,526.8857040491165,30829.284153630426
2020-05-15,992.0,262.0,39027.0,223096.0,31368.0,1859110.0,3778.8880933113123,531.3235634479742,31490.338881719053
2020-05-16,789.0,242.0,40657.0,223885.0,31610.0,1899767.0,3792.252486691842,535.4226549537893,32179.00319309065
2020-05-17,875.0,153.0,33505.0,224760.0,31763.0,1933272.0,3807.0735820124546,538.014229335565,32746.524105910226
2020-05-18,675.0,145.0,26101.0,225435.0,31908.0,1959373.0,3818.506998402642,540.4702965601238,33188.63314472544
2020-05-19,451.0,99.0,40226.0,225886.0,32007.0,1999599.0,3826.1462143907515,542.1471976306844,33869.99700800197
2020-05-20,813.0,162.0,38617.0,226699.0,32169.0,2038216.0,3839.9171292429323,544.8912175643293,34524.106994283226
2020-05-21,665.0,161.0,40644.0,227364.0,32330.0,2078860.0,3851.181161686598,547.618299103322,35212.55110652434
2020-05-22,642.0,156.0,42987.0,228006.0,32486.0,2121847.0,3862.055611053265,550.2606886690542,35940.6818774354
2020-05-23,652.0,130.0,42579.0,228658.0,32616.0,2164426.0,3873.0994443664526,552.4626799738309,36661.901783328394
2020-05-24,669.0,119.0,34206.0,229327.0,32735.0,2198632.0,3884.431230388727,554.4783489374341,37241.296510799104
2020-05-25,531.0,50.0,20676.0,229858.0,32785.0,2219308.0,3893.425517949007,555.3252686700406,37591.51475862652
2020-05-26,300.0,92.0,33944.0,230158.0,32877.0,2253252.0,3898.5070363446457,556.8836009780365,38166.47162669838
2020-05-27,397.0,78.0,37299.0,230555.0,32955.0,2290551.0,3905.2315790215407,558.2047957609025,38798.256808828126
2020-05-28,584.0,117.0,39838.0,231139.0,33072.0,2330389.0,3915.123601498384,560.1865879352016,39473.048574979635
2020-05-29,593.0,70.0,38233.0,231732.0,33142.0,2368622.0,3925.168069527096,561.3722755608505,40120.65421771447
2020-05-30,516.0,87.0,36051.0,232248.0,33229.0,2404673.0,3933.908281167595,562.8459158955858,40731.300283318364
